Name,Free Qty,Pledged Qty,Day Change %,LTP,Quantity,Day Change,Current Value,Source Name,Display Name,Symbol,Yahoo Ticker,Theme,Portfolio Bucket,Ticker Confidence,Ticker Note,Day P&L,Previous Close,P&L Matched,P&L Lots,P&L Quantity,Costed Quantity,Uncosted Quantity,Known Cost Value,Average Recorded Cost,Broker Unrealized P&L,Return on Recorded Cost %,Cost Basis Coverage %,Quantity Reconciliation %,Cost Basis Status,Cost Basis Note,Price Source,Quote Status,Quote Note,Weight %,Technical As Of,Technical Downloaded,Technical Status,Technical Score,Technical Note,RS Trend,RS vs 50D %,RS 3M %,RS Leader,RSI 14,P&F Signal,Above 50DMA,Above 200DMA,50DMA Distance %,200DMA Distance %,52W High Distance %,Technical Error,Session Volume,Volume vs 20D,Price Date,Price Timestamp,Quote Type,Intraday Alert,Last Refreshed
SANSERA,50.0,0.0,2.4078886421175616,4019.10009765625,50.0,94.5,200955.0048828125,SANSERA,Sansera Engineering,SANSERA,SANSERA.NS,Auto Components,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,4725.0,3924.60009765625,True,1,50,50,0.0,118626.995,2372.54,77548.01,65.37,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",SANSERA.NS,Updated,,4.474024238281278,2026-08-17,True,Leader / hold,85,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average; p&f shows a bullish breakout Latest refresh unavailable; showing the previous successful technical snapshot.,"[100.0,98.8,98.69,99.12,99.06,101.54,102.71,100.18,101.94,99.9,95.77,99.47,106.72,106.58,108.04,109.43,108.08,107.3,106.41,104.77,106.24,103.12,103.37,102.16,101.2,100.02,99.64,98.76,98.68,99.06,98.36,101.54,116.89,116.7,117.64,116.01,118.42,116.91,116.08,122.1,121.19,121.12,122.39,121.89,122.71,121.1,121.26,120.63,120.06,115.23,116.53,116.46,118.71,120.11,126.44,127.15,127.85,128.07,129.83,127.69,129.24,130.68,127.65,126.09,125.72,125.84,130.76,129.64,128.68,128.97,129.25,128.3,132.13,128.83,128.53,130.43,126.34,127.75,128.25,134.83,137.67,146.83,149.34,151.96,148.9,143.83,151.01,147.09,153.61,156.48]",20.16448889389273,57.04368604024328,True,71.59,Bullish P&F breakout,True,True,22.212504251665965,68.69156971356954,0.0,Latest refresh unavailable; showing the previous successful technical snapshot. Stale daily price history for SANSERA.NS: latest bar is 2026-08-14 (4 calendar days old),50138.0,0.1533186134661862,2026-08-18,2026-08-18 10:26 IST,Yahoo 5-minute quote,,2026-08-18T10:26+05:30
KPL,60.0,0.0,-1.4507710707243104,3545.89990234375,60.0,-52.2001953125,212753.994140625,KPL,Kwality Pharmaceuticals,KPL,KPL.NS,Pharma,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,-3132.01171875,3598.10009765625,True,1,60,60,0.0,95167.722,1586.13,109996.28,115.58,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",KPL.NS,Updated,,4.73671470452499,2026-08-14,True,Partial: Constructive,60,"Price is above the 50dma; relative strength is above its 50-day average; rsi is extended; p&f shows a bullish breakout History available for 82 trading days, so long-term context is limited. Latest refresh unavailable; showing the previous successful technical snapshot.","[100.0,94.98,98.31,101.54,98.93,95.87,96.32,95.75,95.56,99.63,100.0,101.85,100.13,101.04,99.67,100.32,99.6,98.94,101.62,108.66,117.35,120.0,122.13,124.91,129.22,124.59,128.68,134.87,131.16,135.82,139.34,140.52,140.83,136.12,138.49,150.56,143.07,147.45,140.53,140.01,136.56,135.05,143.13,139.03,138.67,141.77,141.66,157.7,162.68,155.8,157.49,153.85,151.66,145.83,149.01,150.22,147.02,149.91,149.91,153.27,159.98,153.91,155.3,151.68,154.06,154.29,160.44,154.22,147.2,147.05,144.22,145.48,142.98,145.06,143.47,149.45,146.8,174.94,184.65,184.39,185.61,192.22]",26.88243626966258,89.14586849855368,True,77.68,Bullish P&F breakout,True,,29.842994064817454,,0.0,Latest refresh unavailable; showing the previous successful technical snapshot. Not enough daily price history,14896.0,0.1976519542279685,2026-08-18,2026-08-18 10:26 IST,Yahoo 5-minute quote,,2026-08-18T10:26+05:30
PARAS,100.0,0.0,6.294564235798528,1475.9000244140625,100.0,87.4000244140625,147590.00244140625,PARAS,Paras Defence and Space Technologies,PARAS,PARAS.NS,Defence,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,8740.00244140625,1388.5,True,1,100,100,0.0,108943.77,1089.44,29316.23,26.91,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",PARAS.NS,Updated,,3.2859159125492434,2026-08-17,True,Leader / hold,75,Price is above the 50dma; price is above the 200dma; rsi is in a constructive momentum zone; p&f shows a bullish breakout,,,,,67.57,Bullish P&F breakout,True,True,12.089522462113212,65.08988032444067,-1.4304493000270924,,2169116.0,2.0972280556013203,2026-08-18,2026-08-18 10:26 IST,Yahoo 5-minute quote,Exceptional move (+6.29%) on 2.1x 20-day volume,2026-08-18T10:26+05:30
ARVIND,200.0,0.0,-1.1044678111099435,546.2000122070312,200.0,-6.0999755859375,109240.00244140624,ARVIND,Arvind,ARVIND,ARVIND.NS,Textiles / Apparel,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,-1219.9951171875,552.2999877929688,True,1,200,200,0.0,99225.5,496.13,15174.5,15.29,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",ARVIND.NS,Updated,,2.4320987625949853,2026-08-17,True,Monitor,55,Price is above the 50dma; price is above the 200dma; rsi is in a constructive momentum zone,,,,,54.07,"Rising P&F column, no fresh breakout yet",True,True,3.5283608016042134,35.79591761677094,-5.9274381264004745,,138841.0,0.2225382643166214,2026-08-18,2026-08-18 10:26 IST,Yahoo 5-minute quote,,2026-08-18T10:26+05:30
INDSWFTLAB,400.0,0.0,9.80669925968436,334.010009765625,400.0,29.83001708984375,133604.00390625,INDSWFTLAB,Ind-Swift Laboratories,INDSWFTLAB,INDSWFTLAB.NS,Pharma,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,11932.0068359375,304.17999267578125,True,1,400,400,0.0,99135.12,247.84,22820.88,23.02,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",INDSWFTLAB.NS,Updated,,2.974534285207613,2026-08-17,True,Leader / hold,80,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average; rsi is extended; p&f shows a bullish breakout Latest refresh unavailable; showing the previous successful technical snapshot.,"[100.0,99.63,97.71,101.96,96.96,93.97,93.74,94.87,95.16,85.23,89.96,92.79,91.8,89.59,90.26,86.9,89.82,87.89,89.6,88.05,92.74,91.28,87.24,86.19,87.16,88.83,88.53,85.29,85.25,84.23,85.09,85.39,85.28,82.93,82.36,84.41,83.52,95.64,104.5,103.12,100.51,99.81,101.03,101.17,103.21,105.33,103.44,103.85,101.7,101.59,101.19,104.71,116.2,116.7,120.54,120.5,125.62,128.85,127.22,124.61,127.37,132.44,136.52,132.46,140.86,145.19,150.08,144.51,140.53,138.3,143.02,141.97,142.65,140.49,141.27,147.11,144.59,135.94,134.09,137.39,138.99,139.1,137.42,138.23,142.58,170.97,179.74,177.33,183.2,188.33]",42.66647489669504,112.73225400377682,True,80.46,Bullish P&F breakout,True,True,43.380761119331446,114.90861752536073,0.0,Latest refresh unavailable; showing the previous successful technical snapshot. Stale daily price history for INDSWFTLAB.NS: latest bar is 2026-08-14 (4 calendar days old),2408643.0,1.7838598301949211,2026-08-18,2026-08-18 10:26 IST,Yahoo 5-minute quote,Exceptional intraday move (+9.81%),2026-08-18T10:26+05:30
TITANBIO-BE,150.0,0.0,-2.298713711196521,401.6499938964844,150.0,-9.45001220703125,60247.499084472656,TITANBIO-BE,Titan Biotech,TITANBIO-BE,TITANBIO.NS,Biotechnology,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,-1417.5018310546875,411.1000061035156,True,1,150,150,0.0,37291.92,248.61,24373.08,65.36,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",TITANBIO.BO,Updated,,1.3413389298611793,2026-08-17,True,Risk review,25,Price is above the 200dma; relative strength is below its 50-day average; rsi is in a constructive momentum zone Latest refresh unavailable; showing the previous successful technical snapshot.,"[100.0,105.17,108.74,102.98,93.99,89.1,83.58,80.02,82.15,85.71,88.88,88.08,87.75,92.16,92.4,91.68,87.82,84.64,88.78,93.62,93.08,90.87,86.55,84.22,83.68,84.25,85.48,85.58,84.78,83.55,80.06,76.69,74.62,78.26,82.05,85.31,83.09,81.11,80.39,84.2,84.39,83.33,81.63,81.95,81.32,80.2,82.75,83.59,82.08,81.62,80.1,78.02,77.06,78.0,76.82,75.45,74.4,71.94,72.37,70.7,66.86,66.32,69.72,72.88,70.77,71.93,69.77,70.75,70.51,68.91,71.93,74.18,75.5,76.33,74.84,73.72,75.84,73.84,73.85,72.53,71.97,71.51,70.8,71.38,69.38,69.29,68.75,67.82,71.74,71.75]",-3.637518334439082,-16.054717105286866,False,51.45,"Rising P&F column, no fresh breakout yet",False,True,-0.3872200601394482,24.2739571315671,-22.222222862970888,Latest refresh unavailable; showing the previous successful technical snapshot. Stale daily price history for TITANBIO.NS: latest bar is 2026-08-14 (4 calendar days old),5931.0,0.3246998538275822,2026-08-18,2026-08-18 10:09 IST,Yahoo 5-minute quote,,2026-08-18T10:26+05:30
SHILPAMED,200.0,0.0,-0.5778588807785923,817.25,200.0,-4.75,163450.0,SHILPAMED,Shilpa Medicare,SHILPAMED,SHILPAMED.NS,Pharma,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,-950.0,822.0,True,1,200,200,0.0,114506.38,572.53,49503.62,43.23,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",SHILPAMED.NS,Updated,,3.639019899870235,2026-08-17,True,Leader / hold,80,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average; rsi is extended; p&f shows a bullish breakout Latest refresh unavailable; showing the previous successful technical snapshot.,"[100.0,103.96,103.06,102.58,101.66,105.28,104.23,103.99,101.25,100.08,98.5,98.86,96.96,97.72,103.06,100.92,99.72,97.69,96.85,98.32,100.63,101.92,103.83,102.34,101.19,106.52,104.99,104.41,105.95,113.06,112.61,110.75,111.1,111.01,114.5,118.44,116.16,113.07,116.45,117.94,122.16,122.39,124.32,127.7,127.57,134.7,134.14,130.42,129.26,124.26,128.08,132.31,125.71,126.9,125.66,136.8,133.75,132.67,133.64,138.83,131.51,137.75,139.78,136.35,137.06,138.05,142.36,141.76,142.21,141.66,146.15,144.77,141.2,139.28,139.73,141.25,137.45,136.45,136.52,139.08,144.46,161.72,166.39,170.66,180.15,182.72,179.06,179.08,183.75,180.73]",27.09123007040625,72.1485738092575,True,75.34,Bullish P&F breakout,True,True,29.245843589678632,88.87210912683585,-1.5450136504904233,Latest refresh unavailable; showing the previous successful technical snapshot. Stale daily price history for SHILPAMED.NS: latest bar is 2026-08-14 (4 calendar days old),208151.0,0.0671997270571016,2026-08-18,2026-08-18 10:26 IST,Yahoo 5-minute quote,,2026-08-18T10:26+05:30
SHYAMMETL,100.0,0.0,-0.4601816424856464,995.0,100.0,-4.5999755859375,99500.0,SHYAMMETL,Shyam Metalics and Energy,SHYAMMETL,SHYAMMETL.NS,Metals,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,-459.99755859375,999.5999755859376,True,1,100,100,0.0,107291.52,1072.92,-7111.52,-6.63,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",SHYAMMETL.NS,Updated,,2.2152491895814523,2026-08-17,True,Monitor,55,Price is above the 50dma; price is above the 200dma; rsi is in a constructive momentum zone Latest refresh unavailable; showing the previous successful technical snapshot.,"[100.0,99.62,98.31,101.27,99.26,98.13,97.84,97.62,98.98,98.62,97.48,96.23,92.71,91.42,93.71,94.08,100.06,98.86,99.59,99.32,102.3,100.68,98.65,96.3,98.36,95.71,94.93,96.78,97.6,97.47,98.58,99.79,101.18,102.78,104.07,104.6,105.91,105.5,106.8,106.78,109.31,109.4,111.38,111.73,109.91,108.3,109.34,110.31,109.35,106.35,105.19,103.84,105.62,105.0,103.59,104.82,102.98,103.2,104.28,103.62,103.65,103.72,103.07,102.97,103.3,101.2,102.0,103.62,109.2,110.52,109.99,111.03,109.44,112.8,111.54,110.95,109.85,109.86,109.01,107.68,107.63,108.65,107.71,106.8,105.67,103.66,103.6,102.55,105.52,104.07]",-2.531991536997824,9.630547770369269,False,45.86,"Falling P&F column, wait for reversal",True,True,0.0291599145899601,12.295181572913648,-6.719342004791939,Latest refresh unavailable; showing the previous successful technical snapshot. Stale daily price history for SHYAMMETL.NS: latest bar is 2026-08-14 (4 calendar days old),193736.0,0.3411309020460969,2026-08-18,2026-08-18 10:26 IST,Yahoo 5-minute quote,,2026-08-18T10:26+05:30
AZAD,50.0,0.0,-2.8069900715525065,2818.5,50.0,-81.39990234375,140925.0,AZAD,Azad Engineering,AZAD,AZAD.NS,Industrials / Aerospace,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,-4069.9951171875,2899.89990234375,True,1,50,50,0.0,118023.995,2360.48,17471.01,14.8,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",AZAD.NS,Updated,,3.137527558208705,2026-08-17,True,Monitor,55,Price is above the 50dma; price is above the 200dma; rsi is extended; p&f shows a bullish breakout,,,,,75.75,Bullish P&F breakout,True,True,26.764153654957813,56.171611057450455,0.0,,277858.0,0.3912077446906886,2026-08-18,2026-08-18 10:26 IST,Yahoo 5-minute quote,,2026-08-18T10:26+05:30
UJJIVANSFB,1500.0,0.0,-1.0386373210206412,71.45999908447266,1500.0,-0.75,107189.99862670898,UJJIVANSFB,Ujjivan Small Finance Bank,UJJIVANSFB,UJJIVANSFB.NS,Banking,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,-1125.0,72.20999908447266,True,1,1500,1500,0.0,108433.05,72.29,316.95,0.29,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",UJJIVANSFB.NS,Updated,,2.386457865216624,2026-08-17,True,Leader / hold,75,Price is above the 50dma; price is above the 200dma; rsi is in a constructive momentum zone; p&f shows a bullish breakout,,,,,62.55,Bullish P&F breakout,True,True,13.631712604069989,24.037637092075048,-0.35877208755474843,,2233005.0,0.0872705577463708,2026-08-18,2026-08-18 10:26 IST,Yahoo 5-minute quote,,2026-08-18T10:26+05:30
