Name,Free Qty,Pledged Qty,Day Change %,LTP,Quantity,Day Change,Current Value,Source Name,Display Name,Symbol,Yahoo Ticker,Theme,Portfolio Bucket,Ticker Confidence,Ticker Note,Day P&L,Previous Close,P&L Matched,P&L Lots,P&L Quantity,Costed Quantity,Uncosted Quantity,Known Cost Value,Average Recorded Cost,Broker Unrealized P&L,Return on Recorded Cost %,Cost Basis Coverage %,Quantity Reconciliation %,Cost Basis Status,Cost Basis Note,Price Source,Quote Status,Quote Note,Weight %,Technical As Of,Technical Downloaded,Technical Status,Technical Score,Technical Note,RS Trend,RS vs 50D %,RS 3M %,RS Leader,RSI 14,P&F Signal,Above 50DMA,Above 200DMA,50DMA Distance %,200DMA Distance %,52W High Distance %,Technical Error,Session Volume,Volume vs 20D,Price Date,Price Timestamp,Quote Type,Intraday Alert,Last Refreshed
SANSERA,50.0,0.0,0.029983787403176,4003.199951171875,50.0,1.199951171875,200159.99755859372,SANSERA,Sansera Engineering,SANSERA,SANSERA.NS,Auto Components,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,59.99755859375,4002.0,True,1,50,50,0.0,118626.995,2372.54,77548.01,65.37,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",SANSERA.NS,Updated,,4.452789410287519,2026-08-18,True,Leader / hold,85,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average; p&f shows a bullish breakout,"[100.0,98.8,98.69,99.12,99.06,101.54,102.71,100.18,101.94,99.9,95.77,99.47,106.72,106.58,108.04,109.43,108.08,107.3,106.41,104.77,106.24,103.12,103.37,102.16,101.2,100.02,99.64,98.76,98.68,99.06,98.36,101.54,116.89,116.7,117.64,116.01,118.42,116.91,116.08,122.1,121.19,121.12,122.39,121.89,122.71,121.1,121.26,120.63,120.06,115.23,116.53,116.46,118.71,120.11,126.44,127.15,127.85,128.07,129.83,127.69,129.24,130.68,127.65,126.09,125.72,125.84,130.76,129.64,128.68,128.97,129.25,128.3,132.13,128.83,128.53,130.43,126.34,127.75,128.25,134.83,137.67,146.83,149.34,151.96,148.9,143.83,151.01,147.09,153.61,157.06]",20.600161747886837,57.627142475379166,True,71.63,Bullish P&F breakout,True,True,21.47621106735993,67.86084356852801,0.0,,161232.0,0.5211631202876947,2026-08-18,2026-08-18 15:25 IST,Yahoo 5-minute quote,,2026-08-18T16:30+05:30
KPL,60.0,0.0,-1.820405164455141,3532.60009765625,60.0,-65.5,211956.005859375,KPL,Kwality Pharmaceuticals,KPL,KPL.NS,Pharma,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,-3930.0,3598.10009765625,True,1,60,60,0.0,95167.722,1586.13,109996.28,115.58,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",KPL.NS,Updated,,4.715205185097901,2026-08-17,True,Partial: Monitor,35,"Price is above the 50dma; rsi is extended; p&f shows a bullish breakout History available for 83 trading days, so long-term context is limited. Latest refresh unavailable; showing the previous successful technical snapshot.",,,,,80.52,Bullish P&F breakout,True,,34.700166886958115,,0.0,Latest refresh unavailable; showing the previous successful technical snapshot. Not enough daily price history,33393.0,0.4236719746945497,2026-08-18,2026-08-18 15:25 IST,Yahoo 5-minute quote,,2026-08-18T16:30+05:30
PARAS,100.0,0.0,9.99640250832734,1527.300048828125,100.0,138.800048828125,152730.0048828125,PARAS,Paras Defence and Space Technologies,PARAS,PARAS.NS,Defence,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,13880.0048828125,1388.5,True,1,100,100,0.0,108943.77,1089.44,29316.23,26.91,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",PARAS.NS,Updated,,3.39765465962432,2026-08-18,True,Leader / hold,80,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average; rsi is extended; p&f shows a bullish breakout,"[100.0,99.69,98.85,98.83,99.83,99.49,103.89,108.61,111.05,114.26,110.57,110.2,115.08,117.7,114.89,114.24,113.71,114.47,113.04,110.67,112.31,111.35,118.58,118.12,118.6,112.79,111.2,108.41,104.8,103.5,105.29,104.6,108.85,111.63,116.49,116.22,114.57,112.56,113.26,118.65,117.32,124.39,134.13,136.04,144.76,147.02,140.91,152.68,152.13,148.66,174.92,177.7,190.84,186.12,181.57,175.0,168.55,162.22,176.03,173.31,181.33,174.83,182.71,174.11,174.21,163.84,166.72,162.64,160.59,162.11,159.91,157.62,160.7,162.64,162.16,163.61,158.56,161.05,161.58,169.66,171.51,170.83,174.54,168.85,166.43,168.47,167.64,175.3,181.25,201.44]",22.36715686940456,81.15204586872369,True,76.84,Bullish P&F breakout,True,True,22.184687376845,80.71086855233823,0.0,,5173670.0,5.002206370900811,2026-08-18,2026-08-18 15:25 IST,Yahoo 5-minute quote,Exceptional move (+10.00%) on 5.0x 20-day volume,2026-08-18T16:30+05:30
ARVIND,200.0,0.0,-4.671372146153285,526.5,200.0,-25.79998779296875,105300.0,ARVIND,Arvind,ARVIND,ARVIND.NS,Textiles / Apparel,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,-5159.99755859375,552.2999877929688,True,1,200,200,0.0,99225.5,496.13,15174.5,15.29,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",ARVIND.NS,Updated,,2.342519637401668,2026-08-18,True,Monitor,35,Price is above the 200dma; rsi is in a constructive momentum zone,"[100.0,101.42,105.81,106.73,106.55,104.07,104.22,104.88,104.08,102.96,101.39,100.55,100.35,101.04,101.68,101.56,101.07,101.69,102.09,102.04,104.43,103.7,102.57,99.23,112.47,109.16,111.56,114.64,114.07,111.88,115.53,121.12,123.41,123.22,124.23,121.58,120.87,122.64,120.82,119.72,122.67,128.12,124.82,128.39,126.99,127.94,128.27,128.35,129.38,126.7,126.05,124.72,124.75,127.51,128.86,126.39,130.8,139.06,137.65,138.74,147.61,139.92,141.12,141.56,135.35,133.5,132.05,132.16,129.02,133.12,132.91,132.69,131.72,132.23,128.4,131.69,129.11,125.85,126.53,124.32,127.85,132.93,132.36,133.29,136.46,133.12,137.13,136.61,133.62,127.86]",-2.670747563785414,14.60483754567079,False,45.53,"Falling P&F column, wait for reversal",False,True,-0.8465230667937806,30.4723587040155,-10.321917578936624,,901385.0,1.5810656953024869,2026-08-18,2026-08-18 15:30 IST,Yahoo 5-minute quote,,2026-08-18T16:30+05:30
INDSWFTLAB,400.0,0.0,10.814007824285344,346.8699951171875,400.0,33.850006103515625,138747.998046875,INDSWFTLAB,Ind-Swift Laboratories,INDSWFTLAB,INDSWFTLAB.NS,Pharma,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,13540.00244140625,313.0199890136719,True,1,400,400,0.0,99135.12,247.84,22820.88,23.02,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",INDSWFTLAB.NS,Updated,,3.0866088326208256,2026-08-18,True,Leader / hold,80,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average; rsi is extended; p&f shows a bullish breakout,"[100.0,99.63,97.71,101.96,96.96,93.97,93.74,94.87,95.16,85.23,89.96,92.79,91.8,89.59,90.26,86.9,89.82,87.89,89.6,88.05,92.74,91.28,87.24,86.19,87.16,88.83,88.53,85.29,85.25,84.23,85.09,85.39,85.28,82.93,82.36,84.41,83.52,95.64,104.5,103.12,100.51,99.81,101.03,101.17,103.21,105.33,103.44,103.85,101.7,101.59,101.19,104.71,116.2,116.7,120.54,120.5,125.62,128.85,127.22,124.61,127.37,132.44,136.52,132.46,140.86,145.19,150.08,144.51,140.53,138.3,143.02,141.97,142.65,140.49,141.27,147.11,144.59,135.94,134.09,137.39,138.99,139.1,137.42,138.23,142.58,170.97,179.74,177.33,183.2,209.41]",58.129240411507666,136.54203455323625,True,85.1,Bullish P&F breakout,True,True,56.16586366961129,136.17371961493205,0.0,,4603794.0,3.1628171808151992,2026-08-18,2026-08-18 15:25 IST,Yahoo 5-minute quote,Exceptional move (+10.81%) on 3.2x 20-day volume,2026-08-18T16:30+05:30
TITANBIO-BE,150.0,0.0,-2.97619043205728,399.3500061035156,150.0,-12.25,59902.500915527344,TITANBIO-BE,Titan Biotech,TITANBIO-BE,TITANBIO.NS,Biotechnology,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,-1837.5,411.6000061035156,True,1,150,150,0.0,37291.92,248.61,24373.08,65.36,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",TITANBIO.BO,Updated,,1.3326000448631925,2026-08-18,True,Risk review,10,Price is above the 200dma; relative strength is below its 50-day average,"[100.0,105.17,108.74,102.98,93.99,89.1,83.58,80.02,82.15,85.71,88.88,88.08,87.75,92.16,92.4,91.68,87.82,84.64,88.78,93.62,93.08,90.87,86.55,84.22,83.68,84.25,85.48,85.58,84.78,83.55,80.06,76.69,74.62,78.26,82.05,85.31,83.09,81.11,80.39,84.2,84.39,83.33,81.63,81.95,81.32,80.2,82.75,83.59,82.08,81.62,80.1,78.02,77.06,78.0,76.82,75.45,74.4,71.94,72.37,70.7,66.86,66.32,69.72,72.88,70.77,71.93,69.77,70.75,70.51,68.91,71.93,74.18,75.5,76.33,74.84,73.72,75.84,73.84,73.85,72.53,71.97,71.51,70.8,71.38,69.38,69.29,68.75,67.82,71.74,69.86]",-6.1383775543954355,-18.274997258334857,False,44.63,"Falling P&F column, wait for reversal",False,True,-3.1505461887213593,20.26528116246533,-24.537037624389978,,17773.0,0.9622501048984178,2026-08-18,2026-08-18 15:25 IST,Yahoo 5-minute quote,,2026-08-18T16:30+05:30
SHILPAMED,200.0,0.0,0.0617817876611637,809.7999877929688,200.0,0.5,161959.99755859375,SHILPAMED,Shilpa Medicare,SHILPAMED,SHILPAMED.NS,Pharma,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,100.0,809.2999877929688,True,1,200,200,0.0,114506.38,572.53,49503.62,43.23,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",SHILPAMED.NS,Updated,,3.602986464905338,2026-08-18,True,Leader / hold,80,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average; rsi is extended; p&f shows a bullish breakout,"[100.0,103.96,103.06,102.58,101.66,105.28,104.23,103.99,101.25,100.08,98.5,98.86,96.96,97.72,103.06,100.92,99.72,97.69,96.85,98.32,100.63,101.92,103.83,102.34,101.19,106.52,104.99,104.41,105.95,113.06,112.61,110.75,111.1,111.01,114.5,118.44,116.16,113.07,116.45,117.94,122.16,122.39,124.32,127.7,127.57,134.7,134.14,130.42,129.26,124.26,128.08,132.31,125.71,126.9,125.66,136.8,133.75,132.67,133.64,138.83,131.51,137.75,139.78,136.35,137.06,138.05,142.36,141.76,142.21,141.66,146.15,144.77,141.2,139.28,139.73,141.25,137.45,136.45,136.52,139.08,144.46,161.72,166.39,170.66,180.15,182.72,179.06,179.08,183.75,181.46]",27.5908722870021,72.84307537404251,True,75.4,Bullish P&F breakout,True,True,28.21284016240895,88.00444108486856,-1.484186399882148,,571678.0,0.1834953230563973,2026-08-18,2026-08-18 15:25 IST,Yahoo 5-minute quote,,2026-08-18T16:30+05:30
SHYAMMETL,100.0,0.0,0.3749063816339104,990.5999755859376,100.0,3.699951171875,99059.99755859376,SHYAMMETL,Shyam Metalics and Energy,SHYAMMETL,SHYAMMETL.NS,Metals,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,369.9951171875,986.9000244140624,True,1,100,100,0.0,107291.52,1072.92,-7111.52,-6.63,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",SHYAMMETL.NS,Updated,,2.2037036045770857,2026-08-18,True,Monitor,55,Price is above the 50dma; price is above the 200dma; rsi is in a constructive momentum zone,"[100.0,99.62,98.31,101.27,99.26,98.13,97.84,97.62,98.98,98.62,97.48,96.23,92.71,91.42,93.71,94.08,100.06,98.86,99.59,99.32,102.3,100.68,98.65,96.3,98.36,95.71,94.93,96.78,97.6,97.47,98.58,99.79,101.18,102.78,104.07,104.6,105.91,105.5,106.8,106.78,109.31,109.4,111.38,111.73,109.91,108.3,109.34,110.31,109.35,106.35,105.19,103.84,105.62,105.0,103.59,104.82,102.98,103.2,104.28,103.62,103.65,103.72,103.07,102.97,103.3,101.2,102.0,103.62,109.2,110.52,109.99,111.03,109.44,112.8,111.54,110.95,109.85,109.86,109.01,107.68,107.63,108.65,107.71,106.8,105.67,103.66,103.6,102.55,105.52,104.82]",-1.8462673531281504,10.417284227378442,False,47.17,"Falling P&F column, wait for reversal",True,True,0.4170180882925756,12.658870132867994,-6.369626865137801,,412925.0,0.907314801926098,2026-08-18,2026-08-18 15:30 IST,Yahoo 5-minute quote,,2026-08-18T16:30+05:30
AZAD,50.0,0.0,-1.4138419042279082,2858.89990234375,50.0,-41.0,142944.9951171875,AZAD,Azad Engineering,AZAD,AZAD.NS,Industrials / Aerospace,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,-2050.0,2899.89990234375,True,1,50,50,0.0,118023.995,2360.48,17471.01,14.8,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",AZAD.NS,Updated,,3.179975860686583,2026-08-18,True,Leader / hold,85,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average; p&f shows a bullish breakout,"[100.0,100.9,100.27,100.58,100.56,102.62,103.27,106.29,109.6,110.39,111.55,111.12,108.8,113.96,124.23,124.43,131.18,128.73,126.43,127.8,126.84,126.29,125.88,126.98,130.92,124.29,124.1,123.03,125.32,121.06,110.88,109.5,114.34,115.57,116.3,115.23,118.92,115.47,114.91,114.22,119.11,121.22,127.03,127.93,127.27,128.86,126.56,124.43,124.11,120.84,120.64,122.12,116.32,117.74,116.59,115.52,113.07,114.47,112.86,116.42,115.25,116.09,120.44,125.34,126.94,126.21,138.29,136.83,131.04,132.56,129.95,133.44,129.49,132.27,137.26,135.68,133.14,131.98,124.91,125.62,129.91,133.85,135.04,136.5,138.87,134.54,134.63,144.38,148.33,156.41]",22.41925630088737,26.037023873803488,True,72.4,Bullish P&F breakout,True,True,24.256667097612116,53.47849203190822,-1.4138419042279082,,708500.0,0.9975263879872198,2026-08-18,2026-08-18 15:25 IST,Yahoo 5-minute quote,,2026-08-18T16:30+05:30
UJJIVANSFB,1500.0,0.0,0.166185774966765,72.33000183105469,1500.0,0.1200027465820312,108495.00274658205,UJJIVANSFB,Ujjivan Small Finance Bank,UJJIVANSFB,UJJIVANSFB.NS,Banking,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,180.00411987304688,72.20999908447266,True,1,1500,1500,0.0,108433.05,72.29,316.95,0.29,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",UJJIVANSFB.NS,Updated,,2.413596149039091,2026-08-18,True,Leader / hold,100,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average; rsi is in a constructive momentum zone; p&f shows a bullish breakout,"[100.0,103.53,104.26,103.36,102.84,103.35,104.55,105.36,99.93,100.56,98.46,96.44,97.91,97.82,98.55,96.76,96.54,93.86,95.21,96.11,103.07,103.63,102.95,101.47,100.97,96.41,95.75,94.39,92.82,92.2,89.49,88.67,87.26,86.46,85.67,88.68,89.09,87.55,88.71,88.93,87.75,89.26,87.72,88.83,87.61,89.22,88.81,90.08,90.47,92.82,92.98,91.67,94.38,92.11,90.86,90.67,92.27,91.05,92.65,95.73,98.72,98.36,95.6,95.46,98.4,96.62,100.04,103.1,105.45,103.3,103.61,104.08,103.22,110.91,113.91,113.83,111.28,110.98,111.28,110.88,110.17,108.96,113.39,110.05,108.75,109.26,112.48,110.39,113.21,113.26]",12.902456131890316,18.28654094469442,True,62.86,Bullish P&F breakout,True,True,13.10858875048444,24.02954833320883,-0.193182540762038,,10972446.0,0.4288263941468718,2026-08-18,2026-08-18 15:30 IST,Yahoo 5-minute quote,,2026-08-18T16:30+05:30
